NFL Week 1 Over Under Totals 2018,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
CAR 18 @ NYG 31,2010-09-12,40,over,39.5,over,49
MIA 15 @ BUF 10,2010-09-12,37.5,under,37,under,25
ATL 9 @ PIT 15,2010-09-12,40.5,under,38,under,24
DET 14 @ CHI 19,2010-09-12,42.5,under,42.5,under,33
CIN 24 @ NE 38,2010-09-12,44,over,44,over,62
CLE 14 @ TB 17,2010-09-12,36.5,under,36,under,31
DEN 17 @ JAC 24,2010-09-12,41.5,under,40,over,41
IND 24 @ HOU 34,2010-09-12,45,over,47.5,over,58
OAK 13 @ TEN 38,2010-09-12,41,over,41,over,51
GB 27 @ PHI 20,2010-09-12,45.5,over,45.5,over,47
SF 6 @ SEA 31,2010-09-12,38,under,38,under,37
ARI 17 @ STL 13,2010-09-12,41.5,under,39.5,under,30
DAL 7 @ WAS 13,2010-09-12,43,under,41,under,20
BAL 10 @ NYJ 9,2010-09-13,37,under,36.5,under,19
SD 14 @ KC 21,2010-09-13,44.5,under,45.5,under,35
NFL Week 1 Over Under Totals 2009,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
TEN 10 @ PIT 13,2009-09-10,35,under,35.5,under,23
MIA 7 @ ATL 19,2009-09-13,43,under,44,under,26
KC 24 @ BAL 38,2009-09-13,37.5,over,36.5,over,62
PHI 38 @ CAR 10,2009-09-13,44.5,over,43.5,over,48
DEN 12 @ CIN 7,2009-09-13,44.5,under,41,under,19
MIN 34 @ CLE 20,2009-09-13,39.5,over,39.5,over,54
NYJ 24 @ HOU 7,2009-09-13,43,under,44.5,under,31
JAC 12 @ IND 14,2009-09-13,44.5,under,45,under,26
DET 27 @ NO 45,2009-09-13,48.5,over,50,over,72
DAL 34 @ TB 21,2009-09-13,42,over,40,over,55
SF 20 @ ARI 16,2009-09-13,47,under,45.5,under,36
WAS 17 @ NYG 23,2009-09-13,39.5,over,37,over,40
STL 0 @ SEA 28,2009-09-13,43,under,41,under,28
CHI 15 @ GB 21,2009-09-13,43.5,under,47,under,36
BUF 24 @ NE 25,2009-09-14,46.5,over,47.5,over,49
SD 24 @ OAK 20,2009-09-14,44,push,42.5,over,44
NFL Week 1 Over Under Totals 2008,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
WAS 7 @ NYG 16,2008-09-04,40,under,41,under,23
CIN 10 @ BAL 17,2008-09-07,41,under,37.5,under,27
NYJ 20 @ MIA 14,2008-09-07,36,under,37,under,34
KC 10 @ NE 17,2008-09-07,48,under,43,under,27
HOU 17 @ PIT 38,2008-09-07,43.5,over,43.5,over,55
JAC 10 @ TEN 17,2008-09-07,37,under,37,under,27
DET 21 @ ATL 34,2008-09-07,43,over,41,over,55
SEA 10 @ BUF 34,2008-09-07,39.5,over,37.5,over,44
TB 20 @ NO 24,2008-09-07,43,over,43,over,44
STL 3 @ PHI 38,2008-09-07,45.5,under,43.5,under,41
DAL 28 @ CLE 10,2008-09-07,48.5,under,48,under,38
CAR 26 @ SD 24,2008-09-07,42.5,over,41,over,50
ARI 23 @ SF 13,2008-09-07,41.5,under,42.5,under,36
CHI 29 @ IND 13,2008-09-07,44.5,under,43,under,42
MIN 19 @ GB 24,2008-09-08,38.5,over,37,over,43
DEN 41 @ OAK 14,2008-09-08,41.5,over,40,over,55
NFL Week 1 Over Under Totals 2007,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
NO 10 @ IND 41,2007-09-06,50.5,over,52.5,under,51
KC 3 @ HOU 20,2007-09-09,38.5,under,37.5,under,23
DEN 15 @ BUF 14,2007-09-09,37,under,38,under,29
PIT 34 @ CLE 7,2007-09-09,37.5,over,36.5,over,41
TEN 13 @ JAC 10,2007-09-09,37.5,under,39.5,under,23
CAR 27 @ STL 13,2007-09-09,42,under,43,under,40
PHI 13 @ GB 16,2007-09-09,43.5,under,41.5,under,29
ATL 3 @ MIN 24,2007-09-09,36,under,34.5,under,27
MIA 13 @ WAS 16,2007-09-09,36,under,34,under,29
NE 38 @ NYJ 14,2007-09-09,40.5,over,41.5,over,52
TB 6 @ SEA 20,2007-09-09,41,under,40.5,under,26
CHI 3 @ SD 14,2007-09-09,43,under,43,under,17
DET 36 @ OAK 21,2007-09-09,36,over,39.5,over,57
NYG 35 @ DAL 45,2007-09-09,44,over,44,over,80
BAL 20 @ CIN 27,2007-09-10,40,over,39.5,over,47
ARI 17 @ SF 20,2007-09-10,45,under,47,under,37
NFL Week 2 Over Under Totals 2018,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
BAL 23 @ CIN 34,2018-09-13,43.5,over,43,over,57
CAR 24 @ ATL 31,2018-09-16,44,over,44,over,55
CLE 18 @ NO 21,2018-09-16,48,under,51,under,39
HOU 17 @ TEN 20,2018-09-16,45,under,41,under,37
IND 21 @ WAS 9,2018-09-16,47,under,48,under,30
KC 42 @ PIT 37,2018-09-16,49.5,over,52,over,79
LAC 31 @ BUF 20,2018-09-16,44,over,41.5,over,51
MIA 20 @ NYJ 12,2018-09-16,44,under,43,under,32
MIN 29 @ GB 29,2018-09-16,45,over,45,over,58
PHI 21 @ TB 27,2018-09-16,44,over,46.5,over,48
ARI 0 @ LAR 34,2018-09-16,46.5,under,43.5,under,34
DET 27 @ SF 30,2018-09-16,47.5,over,48.5,over,57
OAK 19 @ DEN 20,2018-09-16,45,under,44.5,under,39
NE 20 @ JAC 31,2018-09-16,45,over,44.5,over,51
NYG 13 @ DAL 20,2018-09-16,43,under,42,under,33
SEA 17 @ CHI 24,2018-09-17,43.5,under,42.5,under,41
NFL Week 2 Over Under Totals 2017,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
HOU 13 @ CIN 9,2017-09-14,38.5,under,38,under,22
MIN 9 @ PIT 26,2017-09-17,45,under,43,under,35
CLE 10 @ BAL 24,2017-09-17,41,under,39.5,under,34
CHI 7 @ TB 29,2017-09-17,43,under,44,under,36
BUF 3 @ CAR 9,2017-09-17,42.5,under,43,under,12
ARI 16 @ IND 13,2017-09-17,44,under,44,under,29
TEN 37 @ JAC 16,2017-09-17,44,over,42,over,53
PHI 20 @ KC 27,2017-09-17,48,under,46.5,over,47
NE 36 @ NO 20,2017-09-17,54,over,55,over,56
NYJ 20 @ OAK 45,2017-09-17,43.5,over,44,over,65
MIA 19 @ LAC 17,2017-09-17,45,under,46.5,under,36
DAL 17 @ DEN 42,2017-09-17,43,over,44,over,59
WAS 27 @ LAR 20,2017-09-17,46,over,45.5,over,47
SF 9 @ SEA 12,2017-09-17,43,under,42,under,21
GB 23 @ ATL 34,2017-09-17,53.5,over,55,over,57
DET 24 @ NYG 10,2017-09-18,43.5,under,42,under,34
NFL Week 2 Over Under Totals 2016,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
NYJ 37 @ BUF 31,2016-09-15,42.5,over,40.5,over,68
NO 13 @ NYG 16,2016-09-18,52,under,54,under,29
KC 12 @ HOU 19,2016-09-18,43.5,under,41.5,under,31
CIN 16 @ PIT 24,2016-09-18,48,under,48,under,40
DAL 27 @ WAS 23,2016-09-18,46.5,over,47,over,50
MIA 24 @ NE 31,2016-09-18,42.5,over,42,over,55
TEN 16 @ DET 15,2016-09-18,46.5,under,48,under,31
BAL 25 @ CLE 20,2016-09-18,43,over,42,over,45
SF 27 @ CAR 46,2016-09-18,45,over,44.5,over,73
TB 7 @ ARI 40,2016-09-18,50,under,49.5,under,47
SEA 3 @ LA 9,2016-09-18,38.5,under,38,under,12
IND 20 @ DEN 34,2016-09-18,45,over,47,over,54
JAC 14 @ SD 38,2016-09-18,47,over,47.5,over,52
ATL 35 @ OAK 28,2016-09-18,48,over,47.5,over,63
GB 14 @ MIN 17,2016-09-18,44.5,under,43,under,31
PHI 29 @ CHI 14,2016-09-19,42.5,over,42.5,over,43
NFL Week 2 Over Under Totals 2015,,,,,,
Home Team ID,Date,Opening Total,Opening Result,Closing Total,Closing Result,Game Total
DEN 31 @ KC 24,2015-09-17,44.5,over,42,over,55
DET 16 @ MIN 26,2015-09-20,44,under,44,under,42
ARI 48 @ CHI 23,2015-09-20,44.5,over,45.5,over,71
TEN 14 @ CLE 28,2015-09-20,41.5,over,41,over,42
NE 40 @ BUF 32,2015-09-20,45.5,over,45,over,72
HOU 17 @ CAR 24,2015-09-20,40.5,over,41,push,41
SF 18 @ PIT 43,2015-09-20,44,over,46,over,61
SD 19 @ CIN 24,2015-09-20,45.5,under,47.5,under,43
STL 10 @ WAS 24,2015-09-20,42,under,41,under,34
ATL 24 @ NYG 20,2015-09-20,51,under,49.5,under,44
TB 26 @ NO 19,2015-09-20,48.5,under,47,under,45
BAL 33 @ OAK 37,2015-09-20,43,over,42,over,70
MIA 20 @ JAC 23,2015-09-20,41.5,over,42.5,over,43
